"plant_code","plant_name","utility_name","state","county","latitude","longitude","water_source","n_units","total_nameplate_mw","first_online_year","last_online_year"
46,"Browns Ferry","Tennessee Valley Authority","AL","Limestone",34.7042,-87.1189,"Tennessee River",3,3854,1974,1977
204,"Clinton Power Station","Constellation Nuclear","IL","DeWitt",40.1719,-88.8339,"Salt Creek",1,1138.3,1987,1987
210,"Wolf Creek Generating Station","Wolf Creek Nuclear Optg Corp","KS","Coffey",38.23926,-95.68978,"Wolf Creek Cooling Lake",1,1296.3,1985,1985
371,"Columbia Generating Station","Energy Northwest","WA","Benton",46.4711,-119.3339,"Columbia River",1,1200,1984,1984
566,"Millstone","Dominion Energy Nuclear Conn Inc","CT","New London",41.3107,-72.1677,"Long Island Sound",2,2259.9,1975,1986
621,"Turkey Point","Florida Power & Light Co","FL","Miami Dade",25.4356,-80.3308,"Biscayne Bay",2,1637.2,1972,1973
649,"Vogtle","Georgia Power Co","GA","Burke",33.1427,-81.7625,"Savannah River",4,4658,1987,2024
869,"Dresden Generating Station","Constellation Nuclear","IL","Grundy",41.39,-88.27,"Kankakee River",2,2018.6,1970,1971
880,"Quad Cities Generating Station","Constellation Nuclear","IL","Rock Island",41.726111,-90.310278,"Mississippi River",2,2018.6,1972,1972
1715,"Palisades","Holtec Palisades, LLC","MI","Van Buren",42.323,-86.3146,"Lake Michigan",1,811.8,1972,1972
1729,"Fermi","DTE Electric Company","MI","Monroe",41.9631,-83.2581,"Lake Erie",1,1217,1988,1988
1922,"Monticello Nuclear Facility","Northern States Power Co - Minnesota","MN","Wright",45.3338,-93.8493,"Mississippi River",1,685,1971,1971
1925,"Prairie Island","Northern States Power Co - Minnesota","MN","Goodhue",44.622,-92.6333,"Mississippi River",2,1186.2,1974,1974
2410,"PSEG Salem Generating Station","PSEG Nuclear LLC","NJ","Salem",39.4625,-75.5358,"Delaware River",2,2340,1977,1981
2589,"Nine Mile Point Nuclear Station","Constellation Nuclear","NY","Oswego",43.5211,-76.41,"Lake Ontario",2,1901.1,1969,1987
3166,"Peach Bottom","Constellation Nuclear","PA","York",39.758936,-76.268742,"Susquehanna River",2,2876.4,1974,1974
3251,"H B Robinson","Duke Energy Progress - (NC)","SC","Darlington",34.4017,-80.1589,"Lake Robinson",1,768.6,1971,1971
3265,"Oconee","Duke Energy Carolinas, LLC","SC","Oconee",34.7939,-82.8986,"Keowee River",3,2666.7,1973,1974
3806,"Surry","Virginia Electric & Power Co","VA","Surry",37.1661,-76.6986,"James River",2,1695,1972,1973
4046,"Point Beach Nuclear Plant","NextEra Energy Point Beach LLC","WI","Manitowoc",44.2806,-87.5369,"Lake Michigan",2,1286,1970,1972
4270,"Waterford 3","Entergy Louisiana LLC","LA","St Charles",29.995267,-90.471581,"Mississippi River",1,1199.8,1985,1985
6000,"Donald C Cook","Indiana Michigan Power Co","MI","Berrien",41.975604,-86.565206,"Lake Michigan",2,2285.3,1975,1978
6001,"Joseph M Farley","Alabama Power Co","AL","Houston",31.2231,-85.1116,"Chattahoochee River",2,1776.4,1977,1981
6008,"Palo Verde","Arizona Public Service Co","AZ","Maricopa",33.3881,-112.8617,"Phoenix Area Sewage Effluent",3,4209.6,1986,1988
6011,"Calvert Cliffs Nuclear Power Plant","Constellation Nuclear","MD","Calvert",38.4344,-76.4417,"Chesapeake Bay",2,1850.4,1975,1977
6014,"Brunswick Nuclear","Duke Energy Progress - (NC)","NC","Brunswick",33.9597,-78.0114,"Atlantic Ocean (Cape Fear)",2,2003.2,1975,1977
6015,"Harris","Duke Energy Progress - (NC)","NC","Wake",35.6334,-78.9556,"Shearon Harris Reservoir",1,950.9,1987,1987
6020,"Perry","Energy Harbor Nuclear Generation LLC","OH","Lake",41.8006,-81.1439,"Lake Erie",1,1311.6,1987,1987
6022,"Braidwood Generation Station","Constellation Nuclear","IL","Will",41.2435,-88.2286,"Kanakee River",2,2449.8,1988,1988
6023,"Byron Generating Station","Constellation Nuclear","IL","Ogle",42.0742,-89.2819,"Rock River",2,2449.8,1985,1987
6026,"LaSalle Generating Station","Constellation Nuclear","IL","LaSalle",41.245498,-88.669066,"Illinois River",2,2340,1984,1984
6036,"Catawba","Duke Energy Carolinas, LLC","SC","York",35.0514,-81.0694,"Lake Wylie",2,2410.2,1985,1986
6038,"McGuire","Duke Energy Carolinas, LLC","NC","Mecklenburg",35.4331,-80.9486,"Lake Norman",2,2440.6,1981,1984
6040,"Beaver Valley","Energy Harbor Nuclear Generation LLC","PA","Beaver",40.6219,-80.4336,"Ohio River",2,1846.8,1976,1987
6045,"St Lucie","Florida Power & Light Co","FL","St Lucie",27.348611,-80.246389,"Atlantic Ocean",2,2160,1976,1983
6051,"Edwin I Hatch","Georgia Power Co","GA","Appling",31.9342,-82.3447,"Altamah River",2,1848,1975,1979
6072,"Grand Gulf","System Energy Resources, Inc","MS","Claiborne",32.0081,-91.0478,"Mississippi River Aquifer",1,1440,1985,1985
6099,"Diablo Canyon","Pacific Gas & Electric Co.","CA","San Luis Obispo",35.211536,-120.855542,"Pacific Ocean",2,2323,1985,1986
6103,"TalenEnergy Susquehanna","TalenEnergy Susquehanna LLC","PA","Luzerne",41.0919,-76.1462,"Susquehanna River",2,2532,1983,1985
6105,"Limerick","Constellation Nuclear","PA","Montgomery",40.224303,-75.58744,"Schuylkill & Delaware Rivers",2,2277,1986,1990
